Block     Tag            LRU       Data
0         0x155247         22        0x176
1         0x155247         22        0x176
2         0x155247         22        0x176
3         0x155247         22        0x176
4         0x155247         22        0x176
5         0x155247         22        0x176
6         0x155247         22        0x176
7         0x155247         22        0x176
8         0x155247         22        0x176
9         0x155247         22        0x176
10        0x155247         22        0x176
11        0x155247         22        0x176
12        0x155247         22        0x176
13        0x155247         22        0x176
14        0x155247         22        0x176
15        0x155247         22        0x176
16        0x155247         22        0x176
17        0x155247         22        0x176
18        0x155247         22        0x176
19        0x155247         22        0x176
20        0x155247         22        0x176
21        0x155247         22        0x176
22        0x155247         22        0x176
23        0x155247         22        0x176
24        0x155247         22        0x176
25        0x155247         22        0x176
26        0x155247         22        0x176
27        0x155247         22        0x176
28        0x155247         22        0x176
29        0x155247         22        0x176
30        0x155247         22        0x176
31        0x155247         22        0x176
32        0x155247         22        0x176
33        0x155247         22        0x176
34        0x155247         22        0x176
35        0x155247         22        0x176
36        0x155247         22        0x176
37        0x155247         22        0x176
38        0x155247         22        0x176
39        0x155247         22        0x176
40        0x155247         22        0x176
41        0x155247         22        0x176
42        0x155247         22        0x176
43        0x155247         22        0x176
44        0x155247         22        0x176
45        0x155247         22        0x176
46        0x155247         22        0x176
47        0x155247         22        0x176
48        0x155247         22        0x176
49        0x155247         22        0x176
50        0x155247         22        0x176
51        0x155247         22        0x176
52        0x155247         22        0x176
53        0x155247         22        0x176
54        0x155247         22        0x176
55        0x155247         22        0x176
56        0x155247         22        0x176
57        0x155247         22        0x176
58        0x155247         22        0x176
59        0x155247         22        0x176
60        0x155247         22        0x176
61        0x155247         22        0x176
62        0x155247         22        0x176
63        0x155247         22        0x176
64        0x155247         22        0x176
65        0x155247         22        0x176
66        0x155247         22        0x176
67        0x155247         22        0x176
68        0x155247         22        0x176
69        0x155247         22        0x176
70        0x155247         22        0x176
71        0x155247         22        0x176
72        0x155247         22        0x176
73        0x155247         22        0x176
74        0x155247         22        0x176
75        0x155247         22        0x176
76        0x155247         22        0x176
77        0x155247         22        0x176
78        0x155247         22        0x176
79        0x155247         22        0x176
80        0x155247         22        0x176
81        0x155247         22        0x176
82        0x155247         22        0x176
83        0x155247         22        0x176
84        0x155247         22        0x176
85        0x155247         22        0x176
86        0x155247         22        0x176
87        0x155247         22        0x176
88        0x155247         22        0x176
89        0x155247         22        0x176
90        0x155247         22        0x176
91        0x155247         22        0x176
92        0x155247         22        0x176
93        0x155247         22        0x176
94        0x155247         22        0x176
95        0x155247         22        0x176
96        0x155247         22        0x176
97        0x155247         22        0x176
98        0x155247         22        0x176
99        0x155247         22        0x176
100       0x155247         22        0x176
101       0x155247         22        0x176
102       0x155247         22        0x176
103       0x155247         22        0x176
104       0x155247         22        0x176
105       0x155247         22        0x176
106       0x155247         22        0x176
107       0x155247         22        0x176
108       0x155247         22        0x176
109       0x155247         22        0x176
110       0x155247         22        0x176
111       0x155247         22        0x176
112       0x155247         22        0x176
113       0x155247         22        0x176
114       0x155247         22        0x176
115       0x155247         22        0x176
116       0x155247         22        0x176
117       0x155247         22        0x176
118       0x155247         22        0x176
119       0x155247         22        0x176
120       0x155247         22        0x176
121       0x155247         22        0x176
122       0x155247         22        0x176
123       0x155247         22        0x176
124       0x155247         22        0x176
125       0x155247         22        0x176
126       0x155247         22        0x176
127       0x155247         22        0x176
128       0x155247         22        0x176
129       0x155247         22        0x176
130       0x155247         22        0x176
131       0x155247         22        0x176
132       0x155247         22        0x176
133       0x155247         22        0x176
134       0x155247         22        0x176
135       0x155247         22        0x176
136       0x155247         22        0x176
137       0x155247         22        0x176
138       0x155247         22        0x176
139       0x155247         22        0x176
140       0x155247         22        0x176
141       0x155247         22        0x176
142       0x155247         22        0x176
143       0x155247         22        0x176
144       0x155247         22        0x176
145       0x155247         22        0x176
146       0x155247         22        0x176
147       0x155247         22        0x176
148       0x155247         22        0x176
149       0x155247         22        0x176
150       0x155247         22        0x176
151       0x155247         22        0x176
152       0x155247         22        0x176
153       0x155247         22        0x176
154       0x155247         22        0x176
